ID,Produto,Categoria,Preço,Quantidade,Data_Venda,Vendedor
854,Produto A,Categoria 3,81.32,17,2025-05-03,Vendedor 2
855,Produto A,Categoria 2,30.27,16,2025-05-04,Vendedor 2
856,Produto B,Categoria 3,71.33,16,2025-05-05,Vendedor 3
857,Produto B,Categoria 3,32.83,3,2025-05-06,Vendedor 2
858,Produto A,Categoria 1,89.54,6,2025-05-07,Vendedor 2
859,Produto B,Categoria 3,60.53,1,2025-05-08,Vendedor 3
860,Produto A,Categoria 1,26.73,16,2025-05-09,Vendedor 1
861,Produto B,Categoria 1,30.19,15,2025-05-10,Vendedor 2
862,Produto C,Categoria 3,54.45,7,2025-05-11,Vendedor 1
863,Produto C,Categoria 1,96.54,2,2025-05-12,Vendedor 3
864,Produto C,Categoria 2,79.27,10,2025-05-13,Vendedor 2
865,Produto C,Categoria 2,53.95,15,2025-05-14,Vendedor 2
866,Produto C,Categoria 3,40.39,6,2025-05-15,Vendedor 3
867,Produto A,Categoria 2,59.43,2,2025-05-16,Vendedor 2
868,Produto C,Categoria 1,77.35,17,2025-05-17,Vendedor 1
869,Produto C,Categoria 2,80.55,1,2025-05-18,Vendedor 1
870,Produto C,Categoria 3,39.21,1,2025-05-19,Vendedor 3
871,Produto C,Categoria 3,74.9,4,2025-05-20,Vendedor 2
872,Produto B,Categoria 1,69.2,16,2025-05-21,Vendedor 2
873,Produto A,Categoria 3,96.32,8,2025-05-22,Vendedor 3
874,Produto C,Categoria 2,93.8,1,2025-05-23,Vendedor 1
875,Produto C,Categoria 3,81.04,19,2025-05-24,Vendedor 1
876,Produto C,Categoria 1,75.11,11,2025-05-25,Vendedor 3
877,Produto A,Categoria 3,34.66,17,2025-05-26,Vendedor 2
878,Produto B,Categoria 2,86.14,10,2025-05-27,Vendedor 1
879,Produto A,Categoria 1,48.48,12,2025-05-28,Vendedor 2
880,Produto B,Categoria 2,34.5,9,2025-05-29,Vendedor 1
881,Produto C,Categoria 1,44.57,7,2025-05-30,Vendedor 2
882,Produto C,Categoria 3,85.23,12,2025-05-31,Vendedor 1
883,Produto A,Categoria 1,23.38,15,2025-06-01,Vendedor 2
884,Produto A,Categoria 1,51.05,8,2025-06-02,Vendedor 3
885,Produto B,Categoria 3,54.31,17,2025-06-03,Vendedor 1
886,Produto B,Categoria 2,13.3,5,2025-06-04,Vendedor 3
887,Produto A,Categoria 3,27.62,14,2025-06-05,Vendedor 1
888,Produto B,Categoria 1,84.41,2,2025-06-06,Vendedor 1
889,Produto A,Categoria 3,84.77,16,2025-06-07,Vendedor 1
890,Produto B,Categoria 1,36.32,17,2025-06-08,Vendedor 2
891,Produto A,Categoria 3,88.74,3,2025-06-09,Vendedor 1
892,Produto A,Categoria 3,79.46,1,2025-06-10,Vendedor 3
893,Produto A,Categoria 2,47.61,18,2025-06-11,Vendedor 2
894,Produto B,Categoria 1,77.36,18,2025-06-12,Vendedor 2
895,Produto B,Categoria 2,96.52,4,2025-06-13,Vendedor 1
896,Produto B,Categoria 1,51.31,15,2025-06-14,Vendedor 2
897,Produto A,Categoria 3,31.46,19,2025-06-15,Vendedor 1
898,Produto B,Categoria 1,94.76,19,2025-06-16,Vendedor 3
899,Produto B,Categoria 2,64.34,10,2025-06-17,Vendedor 2
900,Produto A,Categoria 2,19.47,5,2025-06-18,Vendedor 2
901,Produto C,Categoria 2,61.54,19,2025-06-19,Vendedor 3
902,Produto A,Categoria 1,55.05,11,2025-06-20,Vendedor 3
903,Produto B,Categoria 2,87.0,7,2025-06-21,Vendedor 1
904,Produto A,Categoria 2,57.76,5,2025-06-22,Vendedor 2
905,Produto C,Categoria 2,32.97,12,2025-06-23,Vendedor 3
906,Produto A,Categoria 3,70.81,19,2025-06-24,Vendedor 2
907,Produto B,Categoria 3,58.83,15,2025-06-25,Vendedor 3
908,Produto C,Categoria 1,30.97,12,2025-06-26,Vendedor 2
909,Produto B,Categoria 1,61.63,4,2025-06-27,Vendedor 3
910,Produto C,Categoria 2,83.94,12,2025-06-28,Vendedor 2
911,Produto C,Categoria 3,12.57,18,2025-06-29,Vendedor 1
912,Produto A,Categoria 2,66.78,17,2025-06-30,Vendedor 2
913,Produto A,Categoria 2,41.46,19,2025-07-01,Vendedor 1
914,Produto B,Categoria 3,36.34,16,2025-07-02,Vendedor 1
915,Produto A,Categoria 3,45.33,11,2025-07-03,Vendedor 1
916,Produto A,Categoria 3,40.78,2,2025-07-04,Vendedor 2
917,Produto C,Categoria 1,84.9,16,2025-07-05,Vendedor 2
918,Produto A,Categoria 1,34.73,1,2025-07-06,Vendedor 1
919,Produto C,Categoria 2,75.98,17,2025-07-07,Vendedor 3
920,Produto C,Categoria 1,18.47,18,2025-07-08,Vendedor 2
921,Produto C,Categoria 3,95.63,13,2025-07-09,Vendedor 2
922,Produto B,Categoria 3,66.01,5,2025-07-10,Vendedor 2
923,Produto B,Categoria 1,73.6,6,2025-07-11,Vendedor 2
924,Produto B,Categoria 2,36.82,1,2025-07-12,Vendedor 1
925,Produto C,Categoria 2,47.09,10,2025-07-13,Vendedor 3
926,Produto B,Categoria 1,30.14,5,2025-07-14,Vendedor 3
927,Produto B,Categoria 2,93.93,1,2025-07-15,Vendedor 3
928,Produto A,Categoria 2,53.93,11,2025-07-16,Vendedor 3
929,Produto B,Categoria 2,66.74,7,2025-07-17,Vendedor 1
930,Produto B,Categoria 3,76.08,18,2025-07-18,Vendedor 2
931,Produto C,Categoria 3,43.4,10,2025-07-19,Vendedor 2
932,Produto C,Categoria 1,74.81,15,2025-07-20,Vendedor 1
933,Produto C,Categoria 3,70.84,4,2025-07-21,Vendedor 2
934,Produto C,Categoria 2,73.51,16,2025-07-22,Vendedor 1
935,Produto C,Categoria 3,54.03,15,2025-07-23,Vendedor 3
936,Produto C,Categoria 1,44.46,15,2025-07-24,Vendedor 1
937,Produto B,Categoria 3,29.99,12,2025-07-25,Vendedor 2
938,Produto C,Categoria 2,84.22,8,2025-07-26,Vendedor 2
939,Produto C,Categoria 2,64.75,8,2025-07-27,Vendedor 2
940,Produto A,Categoria 1,49.99,18,2025-07-28,Vendedor 3
941,Produto B,Categoria 3,94.96,6,2025-07-29,Vendedor 1
942,Produto B,Categoria 3,14.31,5,2025-07-30,Vendedor 1
943,Produto B,Categoria 3,86.52,2,2025-07-31,Vendedor 2
944,Produto C,Categoria 2,99.78,12,2025-08-01,Vendedor 1
945,Produto C,Categoria 1,89.82,4,2025-08-02,Vendedor 2
946,Produto C,Categoria 3,82.94,13,2025-08-03,Vendedor 1
947,Produto A,Categoria 2,43.69,17,2025-08-04,Vendedor 3
948,Produto C,Categoria 2,30.82,16,2025-08-05,Vendedor 3
949,Produto A,Categoria 2,76.14,9,2025-08-06,Vendedor 1
950,Produto B,Categoria 3,37.41,1,2025-08-07,Vendedor 3
951,Produto C,Categoria 3,25.84,15,2025-08-08,Vendedor 3
952,Produto A,Categoria 3,80.79,12,2025-08-09,Vendedor 3
953,Produto A,Categoria 3,38.13,5,2025-08-10,Vendedor 2
954,Produto C,Categoria 3,92.3,18,2025-08-11,Vendedor 1
955,Produto B,Categoria 3,85.66,2,2025-08-12,Vendedor 1
956,Produto B,Categoria 3,86.29,4,2025-08-13,Vendedor 2
957,Produto B,Categoria 3,79.44,15,2025-08-14,Vendedor 2
958,Produto A,Categoria 3,89.28,6,2025-08-15,Vendedor 3
959,Produto A,Categoria 2,82.52,12,2025-08-16,Vendedor 1
960,Produto A,Categoria 3,64.23,18,2025-08-17,Vendedor 2
961,Produto A,Categoria 1,36.62,4,2025-08-18,Vendedor 3
962,Produto B,Categoria 2,89.94,1,2025-08-19,Vendedor 1
963,Produto C,Categoria 3,85.65,15,2025-08-20,Vendedor 3
964,Produto A,Categoria 1,52.56,18,2025-08-21,Vendedor 1
965,Produto A,Categoria 3,13.52,14,2025-08-22,Vendedor 3
966,Produto B,Categoria 1,67.47,3,2025-08-23,Vendedor 1
967,Produto C,Categoria 1,14.55,15,2025-08-24,Vendedor 1
968,Produto C,Categoria 1,93.37,5,2025-08-25,Vendedor 1
969,Produto B,Categoria 1,96.55,3,2025-08-26,Vendedor 1
970,Produto B,Categoria 2,27.05,7,2025-08-27,Vendedor 3
971,Produto C,Categoria 2,70.88,6,2025-08-28,Vendedor 2
972,Produto A,Categoria 1,18.3,1,2025-08-29,Vendedor 1
973,Produto C,Categoria 3,75.66,19,2025-08-30,Vendedor 1
974,Produto B,Categoria 1,41.26,7,2025-08-31,Vendedor 1
975,Produto A,Categoria 2,71.29,4,2025-09-01,Vendedor 1
976,Produto A,Categoria 3,43.56,12,2025-09-02,Vendedor 3
977,Produto B,Categoria 2,23.1,18,2025-09-03,Vendedor 2
978,Produto B,Categoria 2,46.55,9,2025-09-04,Vendedor 2
979,Produto B,Categoria 3,20.14,19,2025-09-05,Vendedor 2
980,Produto C,Categoria 1,61.92,4,2025-09-06,Vendedor 3
981,Produto C,Categoria 1,13.69,1,2025-09-07,Vendedor 2
982,Produto A,Categoria 1,57.46,9,2025-09-08,Vendedor 3
983,Produto B,Categoria 1,89.77,15,2025-09-09,Vendedor 3
984,Produto A,Categoria 3,85.41,8,2025-09-10,Vendedor 1
985,Produto A,Categoria 3,89.45,15,2025-09-11,Vendedor 3
986,Produto A,Categoria 3,92.98,15,2025-09-12,Vendedor 2
987,Produto A,Categoria 2,19.41,18,2025-09-13,Vendedor 2
988,Produto B,Categoria 3,21.59,7,2025-09-14,Vendedor 2
989,Produto A,Categoria 1,60.13,18,2025-09-15,Vendedor 1
990,Produto B,Categoria 2,90.46,16,2025-09-16,Vendedor 1
991,Produto B,Categoria 1,97.69,2,2025-09-17,Vendedor 1
992,Produto C,Categoria 1,14.16,4,2025-09-18,Vendedor 3
993,Produto B,Categoria 3,42.02,16,2025-09-19,Vendedor 2
994,Produto C,Categoria 3,29.16,3,2025-09-20,Vendedor 3
995,Produto B,Categoria 1,78.04,2,2025-09-21,Vendedor 3
996,Produto B,Categoria 1,67.62,3,2025-09-22,Vendedor 2
997,Produto B,Categoria 2,20.79,5,2025-09-23,Vendedor 1
998,Produto C,Categoria 3,53.52,2,2025-09-24,Vendedor 2
999,Produto C,Categoria 2,71.69,19,2025-09-25,Vendedor 3
1000,Produto A,Categoria 2,80.11,2,2025-09-26,Vendedor 3
1001,Produto C,Categoria 2,11.8,2,2025-09-27,Vendedor 1
1002,Produto C,Categoria 1,90.14,18,2025-09-28,Vendedor 3
1003,Produto C,Categoria 2,61.24,14,2025-09-29,Vendedor 3
1004,Produto C,Categoria 2,83.07,15,2025-09-30,Vendedor 2
1005,Produto A,Categoria 1,82.71,12,2025-10-01,Vendedor 1
1006,Produto C,Categoria 3,27.09,11,2025-10-02,Vendedor 2
1007,Produto B,Categoria 3,19.92,11,2025-10-03,Vendedor 2
1008,Produto B,Categoria 2,74.92,7,2025-10-04,Vendedor 2
1009,Produto C,Categoria 1,24.08,12,2025-10-05,Vendedor 3
1010,Produto C,Categoria 3,86.49,16,2025-10-06,Vendedor 3
1011,Produto B,Categoria 2,75.36,5,2025-10-07,Vendedor 1
1012,Produto B,Categoria 2,85.76,2,2025-10-08,Vendedor 3
1013,Produto A,Categoria 1,36.91,16,2025-10-09,Vendedor 1
1014,Produto B,Categoria 2,38.49,15,2025-10-10,Vendedor 2
1015,Produto B,Categoria 3,70.41,11,2025-10-11,Vendedor 2
1016,Produto C,Categoria 1,12.83,6,2025-10-12,Vendedor 3
1017,Produto B,Categoria 3,75.38,13,2025-10-13,Vendedor 3
1018,Produto A,Categoria 3,85.22,19,2025-10-14,Vendedor 1
1019,Produto B,Categoria 3,47.36,10,2025-10-15,Vendedor 3
1020,Produto C,Categoria 2,78.84,19,2025-10-16,Vendedor 3
1021,Produto C,Categoria 2,25.71,5,2025-10-17,Vendedor 3
1022,Produto B,Categoria 3,39.0,7,2025-10-18,Vendedor 2
1023,Produto C,Categoria 3,97.69,11,2025-10-19,Vendedor 3
1024,Produto A,Categoria 1,98.77,14,2025-10-20,Vendedor 3
1025,Produto A,Categoria 1,56.13,16,2025-10-21,Vendedor 2
1026,Produto B,Categoria 2,94.08,18,2025-10-22,Vendedor 2
1027,Produto B,Categoria 2,57.05,4,2025-10-23,Vendedor 2
1028,Produto B,Categoria 1,36.24,1,2025-10-24,Vendedor 2
1029,Produto C,Categoria 3,34.02,15,2025-10-25,Vendedor 3
1030,Produto A,Categoria 2,93.66,14,2025-10-26,Vendedor 3
1031,Produto A,Categoria 3,25.52,19,2025-10-27,Vendedor 3
1032,Produto C,Categoria 1,62.17,5,2025-10-28,Vendedor 1
1033,Produto A,Categoria 2,60.0,4,2025-10-29,Vendedor 2
1034,Produto B,Categoria 2,76.57,13,2025-10-30,Vendedor 3
1035,Produto B,Categoria 1,54.93,18,2025-10-31,Vendedor 3
1036,Produto B,Categoria 2,34.51,12,2025-11-01,Vendedor 3
1037,Produto A,Categoria 1,25.25,15,2025-11-02,Vendedor 2
1038,Produto B,Categoria 2,65.87,9,2025-11-03,Vendedor 2
1039,Produto C,Categoria 1,74.71,4,2025-11-04,Vendedor 2
1040,Produto C,Categoria 2,61.26,5,2025-11-05,Vendedor 3
1041,Produto A,Categoria 3,76.45,9,2025-11-06,Vendedor 2
1042,Produto C,Categoria 3,22.74,13,2025-11-07,Vendedor 3
1043,Produto C,Categoria 3,89.42,10,2025-11-08,Vendedor 1
1044,Produto A,Categoria 2,62.42,16,2025-11-09,Vendedor 2
1045,Produto B,Categoria 2,21.42,13,2025-11-10,Vendedor 2
1046,Produto B,Categoria 3,51.57,4,2025-11-11,Vendedor 3
1047,Produto B,Categoria 3,86.03,13,2025-11-12,Vendedor 2
1048,Produto A,Categoria 1,90.78,8,2025-11-13,Vendedor 2
1049,Produto C,Categoria 1,33.82,13,2025-11-14,Vendedor 3
1050,Produto B,Categoria 1,74.01,15,2025-11-15,Vendedor 3
1051,Produto B,Categoria 3,19.0,13,2025-11-16,Vendedor 3
1052,Produto A,Categoria 3,13.02,5,2025-11-17,Vendedor 1
1053,Produto B,Categoria 3,60.44,6,2025-11-18,Vendedor 3
1054,Produto A,Categoria 1,72.53,5,2025-11-19,Vendedor 2
1055,Produto C,Categoria 2,81.62,13,2025-11-20,Vendedor 1
1056,Produto A,Categoria 3,40.62,5,2025-11-21,Vendedor 3
1057,Produto A,Categoria 2,10.59,13,2025-11-22,Vendedor 1
1058,Produto A,Categoria 2,53.16,8,2025-11-23,Vendedor 1
1059,Produto A,Categoria 2,11.43,9,2025-11-24,Vendedor 2
1060,Produto C,Categoria 1,18.28,19,2025-11-25,Vendedor 1
1061,Produto C,Categoria 2,39.4,15,2025-11-26,Vendedor 3
1062,Produto B,Categoria 3,49.35,10,2025-11-27,Vendedor 1
1063,Produto C,Categoria 1,35.15,11,2025-11-28,Vendedor 1
1064,Produto C,Categoria 3,62.37,5,2025-11-29,Vendedor 2
1065,Produto B,Categoria 3,14.98,9,2025-11-30,Vendedor 2
1066,Produto C,Categoria 1,23.01,11,2025-12-01,Vendedor 3
1067,Produto A,Categoria 3,72.57,19,2025-12-02,Vendedor 2
1068,Produto A,Categoria 3,22.79,2,2025-12-03,Vendedor 3
1069,Produto B,Categoria 1,67.58,6,2025-12-04,Vendedor 3
1070,Produto B,Categoria 3,14.92,1,2025-12-05,Vendedor 2
1071,Produto B,Categoria 2,46.66,3,2025-12-06,Vendedor 1
1072,Produto A,Categoria 3,25.97,3,2025-12-07,Vendedor 2
1073,Produto C,Categoria 2,19.87,14,2025-12-08,Vendedor 1
1074,Produto A,Categoria 3,61.03,5,2025-12-09,Vendedor 1
1075,Produto B,Categoria 1,93.55,17,2025-12-10,Vendedor 3
1076,Produto C,Categoria 1,14.93,15,2025-12-11,Vendedor 3
1077,Produto C,Categoria 3,47.94,6,2025-12-12,Vendedor 2
1078,Produto A,Categoria 1,73.68,14,2025-12-13,Vendedor 1
1079,Produto B,Categoria 3,51.64,14,2025-12-14,Vendedor 2
1080,Produto A,Categoria 1,82.58,17,2025-12-15,Vendedor 3
1081,Produto C,Categoria 2,26.17,8,2025-12-16,Vendedor 1
1082,Produto A,Categoria 3,96.36,8,2025-12-17,Vendedor 2
1083,Produto A,Categoria 2,44.66,19,2025-12-18,Vendedor 2
1084,Produto B,Categoria 2,40.74,9,2025-12-19,Vendedor 3
1085,Produto B,Categoria 3,88.71,11,2025-12-20,Vendedor 3
1086,Produto C,Categoria 2,60.75,13,2025-12-21,Vendedor 3
1087,Produto A,Categoria 3,56.48,13,2025-12-22,Vendedor 3
1088,Produto A,Categoria 2,75.43,19,2025-12-23,Vendedor 2
1089,Produto A,Categoria 3,62.19,19,2025-12-24,Vendedor 3
1090,Produto C,Categoria 3,24.63,5,2025-12-25,Vendedor 3
1091,Produto C,Categoria 1,70.68,16,2025-12-26,Vendedor 2
1092,Produto B,Categoria 3,22.01,9,2025-12-27,Vendedor 2
1093,Produto B,Categoria 3,82.53,3,2025-12-28,Vendedor 1
1094,Produto B,Categoria 2,99.08,19,2025-12-29,Vendedor 2
1095,Produto A,Categoria 3,43.96,5,2025-12-30,Vendedor 1
1096,Produto A,Categoria 1,50.03,8,2025-12-31,Vendedor 3
1097,Produto B,Categoria 2,14.18,14,2026-01-01,Vendedor 1
1098,Produto A,Categoria 2,11.24,3,2026-01-02,Vendedor 1
1099,Produto B,Categoria 1,92.93,13,2026-01-03,Vendedor 3
1100,Produto C,Categoria 2,21.58,11,2026-01-04,Vendedor 3
1101,Produto B,Categoria 2,50.12,8,2026-01-05,Vendedor 3
1102,Produto C,Categoria 2,83.38,19,2026-01-06,Vendedor 1
1103,Produto A,Categoria 2,90.04,10,2026-01-07,Vendedor 2
1104,Produto B,Categoria 1,56.75,18,2026-01-08,Vendedor 2
1105,Produto A,Categoria 1,60.85,18,2026-01-09,Vendedor 2
1106,Produto C,Categoria 2,70.27,7,2026-01-10,Vendedor 3
1107,Produto C,Categoria 2,96.52,16,2026-01-11,Vendedor 3
1108,Produto C,Categoria 1,64.24,6,2026-01-12,Vendedor 2
1109,Produto A,Categoria 1,60.35,16,2026-01-13,Vendedor 3
1110,Produto A,Categoria 1,11.31,16,2026-01-14,Vendedor 1
1111,Produto A,Categoria 2,17.29,1,2026-01-15,Vendedor 1
1112,Produto A,Categoria 2,61.95,19,2026-01-16,Vendedor 3
1113,Produto C,Categoria 3,94.26,3,2026-01-17,Vendedor 2
1114,Produto C,Categoria 1,88.0,6,2026-01-18,Vendedor 2
1115,Produto B,Categoria 2,98.43,4,2026-01-19,Vendedor 1
1116,Produto B,Categoria 1,57.51,4,2026-01-20,Vendedor 3
1117,Produto A,Categoria 2,80.91,4,2026-01-21,Vendedor 2
1118,Produto C,Categoria 1,85.64,10,2026-01-22,Vendedor 2
1119,Produto C,Categoria 2,68.32,9,2026-01-23,Vendedor 3
1120,Produto C,Categoria 3,40.49,8,2026-01-24,Vendedor 3
1121,Produto B,Categoria 3,52.3,19,2026-01-25,Vendedor 2
1122,Produto B,Categoria 1,87.21,17,2026-01-26,Vendedor 3
1123,Produto C,Categoria 2,36.87,17,2026-01-27,Vendedor 3
1124,Produto C,Categoria 2,93.14,1,2026-01-28,Vendedor 3
1125,Produto C,Categoria 1,30.68,14,2026-01-29,Vendedor 2
1126,Produto B,Categoria 2,77.46,11,2026-01-30,Vendedor 1
1127,Produto C,Categoria 1,66.75,3,2026-01-31,Vendedor 3
1128,Produto C,Categoria 2,77.46,8,2026-02-01,Vendedor 2
1129,Produto A,Categoria 1,49.36,10,2026-02-02,Vendedor 1
1130,Produto A,Categoria 2,93.94,17,2026-02-03,Vendedor 2
1131,Produto B,Categoria 1,66.92,8,2026-02-04,Vendedor 2
1132,Produto C,Categoria 2,35.95,1,2026-02-05,Vendedor 2
1133,Produto C,Categoria 3,67.46,7,2026-02-06,Vendedor 1
1134,Produto A,Categoria 2,35.81,9,2026-02-07,Vendedor 2
1135,Produto B,Categoria 1,36.43,12,2026-02-08,Vendedor 1
1136,Produto A,Categoria 3,45.96,9,2026-02-09,Vendedor 3
1137,Produto A,Categoria 2,86.72,3,2026-02-10,Vendedor 1
1138,Produto A,Categoria 3,55.03,4,2026-02-11,Vendedor 2
1139,Produto A,Categoria 2,71.1,10,2026-02-12,Vendedor 1
1140,Produto C,Categoria 3,45.28,4,2026-02-13,Vendedor 2
1141,Produto C,Categoria 1,33.72,9,2026-02-14,Vendedor 3
1142,Produto A,Categoria 2,95.92,1,2026-02-15,Vendedor 1
1143,Produto B,Categoria 2,64.32,5,2026-02-16,Vendedor 3
1144,Produto B,Categoria 1,94.06,9,2026-02-17,Vendedor 1
1145,Produto B,Categoria 3,28.31,5,2026-02-18,Vendedor 2
1146,Produto B,Categoria 1,23.22,6,2026-02-19,Vendedor 1
1147,Produto A,Categoria 1,87.02,19,2026-02-20,Vendedor 3
1148,Produto C,Categoria 3,71.28,8,2026-02-21,Vendedor 1
1149,Produto B,Categoria 1,26.79,10,2026-02-22,Vendedor 3
1150,Produto A,Categoria 2,34.24,11,2026-02-23,Vendedor 3
1151,Produto B,Categoria 2,82.06,13,2026-02-24,Vendedor 2
1152,Produto B,Categoria 2,50.85,4,2026-02-25,Vendedor 1
1153,Produto A,Categoria 1,70.35,11,2026-02-26,Vendedor 3
1154,Produto C,Categoria 2,38.65,12,2026-02-27,Vendedor 2
1155,Produto C,Categoria 2,44.31,5,2026-02-28,Vendedor 2
1156,Produto A,Categoria 2,99.16,10,2026-03-01,Vendedor 2
1157,Produto C,Categoria 2,32.29,7,2026-03-02,Vendedor 3
1158,Produto A,Categoria 2,55.58,9,2026-03-03,Vendedor 1
1159,Produto A,Categoria 2,86.0,9,2026-03-04,Vendedor 3
1160,Produto A,Categoria 1,31.53,10,2026-03-05,Vendedor 2
1161,Produto C,Categoria 2,47.37,10,2026-03-06,Vendedor 3
1162,Produto A,Categoria 2,65.36,2,2026-03-07,Vendedor 3
1163,Produto B,Categoria 3,53.31,4,2026-03-08,Vendedor 2
1164,Produto C,Categoria 1,51.36,8,2026-03-09,Vendedor 1
1165,Produto C,Categoria 1,42.63,14,2026-03-10,Vendedor 2
1166,Produto C,Categoria 1,62.8,17,2026-03-11,Vendedor 2
1167,Produto C,Categoria 1,66.19,13,2026-03-12,Vendedor 3
1168,Produto B,Categoria 2,68.8,18,2026-03-13,Vendedor 2
1169,Produto C,Categoria 2,16.33,18,2026-03-14,Vendedor 3
1170,Produto C,Categoria 3,66.79,13,2026-03-15,Vendedor 2
1171,Produto A,Categoria 3,95.79,8,2026-03-16,Vendedor 2
1172,Produto C,Categoria 1,58.69,12,2026-03-17,Vendedor 1
1173,Produto B,Categoria 3,74.37,1,2026-03-18,Vendedor 2
1174,Produto B,Categoria 3,60.11,18,2026-03-19,Vendedor 1
1175,Produto B,Categoria 1,86.93,3,2026-03-20,Vendedor 2
1176,Produto B,Categoria 1,93.66,12,2026-03-21,Vendedor 2
1177,Produto C,Categoria 3,26.58,19,2026-03-22,Vendedor 2
1178,Produto C,Categoria 2,49.32,13,2026-03-23,Vendedor 1
1179,Produto B,Categoria 3,45.31,10,2026-03-24,Vendedor 3
1180,Produto B,Categoria 3,46.47,15,2026-03-25,Vendedor 1
1181,Produto C,Categoria 2,21.3,2,2026-03-26,Vendedor 2
1182,Produto B,Categoria 2,83.23,19,2026-03-27,Vendedor 3
1183,Produto A,Categoria 1,13.22,3,2026-03-28,Vendedor 2
1184,Produto B,Categoria 1,57.54,14,2026-03-29,Vendedor 1
1185,Produto B,Categoria 3,69.57,7,2026-03-30,Vendedor 1
1186,Produto A,Categoria 2,28.67,8,2026-03-31,Vendedor 3
1187,Produto A,Categoria 1,91.53,11,2026-04-01,Vendedor 1
1188,Produto C,Categoria 3,85.47,6,2026-04-02,Vendedor 2
1189,Produto C,Categoria 2,52.4,11,2026-04-03,Vendedor 3
1190,Produto A,Categoria 3,47.0,17,2026-04-04,Vendedor 2
1191,Produto A,Categoria 1,31.29,10,2026-04-05,Vendedor 3
1192,Produto C,Categoria 1,75.7,17,2026-04-06,Vendedor 3
1193,Produto B,Categoria 2,21.86,2,2026-04-07,Vendedor 2
1194,Produto A,Categoria 3,71.22,6,2026-04-08,Vendedor 1
1195,Produto C,Categoria 2,85.82,5,2026-04-09,Vendedor 2
1196,Produto B,Categoria 1,30.56,4,2026-04-10,Vendedor 1
1197,Produto A,Categoria 1,87.98,2,2026-04-11,Vendedor 1
1198,Produto B,Categoria 3,13.0,12,2026-04-12,Vendedor 2
1199,Produto C,Categoria 3,92.15,3,2026-04-13,Vendedor 3
1200,Produto A,Categoria 3,20.65,6,2026-04-14,Vendedor 2
1201,Produto B,Categoria 2,68.12,14,2026-04-15,Vendedor 3
1202,Produto A,Categoria 3,32.51,8,2026-04-16,Vendedor 1
1203,Produto B,Categoria 3,85.29,14,2026-04-17,Vendedor 3
1204,Produto C,Categoria 1,56.11,3,2026-04-18,Vendedor 2
1205,Produto C,Categoria 1,22.17,16,2026-04-19,Vendedor 3
1206,Produto A,Categoria 3,61.39,15,2026-04-20,Vendedor 1
1207,Produto B,Categoria 3,46.71,7,2026-04-21,Vendedor 1
1208,Produto A,Categoria 1,69.53,15,2026-04-22,Vendedor 3
1209,Produto A,Categoria 3,89.37,13,2026-04-23,Vendedor 1
1210,Produto B,Categoria 2,46.85,6,2026-04-24,Vendedor 1
1211,Produto B,Categoria 2,36.09,15,2026-04-25,Vendedor 3
1212,Produto B,Categoria 2,11.31,17,2026-04-26,Vendedor 1
1213,Produto C,Categoria 3,61.74,4,2026-04-27,Vendedor 3
1214,Produto A,Categoria 1,46.2,14,2026-04-28,Vendedor 3
1215,Produto A,Categoria 3,43.72,15,2026-04-29,Vendedor 1
1216,Produto C,Categoria 3,26.46,12,2026-04-30,Vendedor 3
1217,Produto B,Categoria 1,48.7,19,2026-05-01,Vendedor 1
1218,Produto C,Categoria 1,98.6,10,2026-05-02,Vendedor 1
1219,Produto C,Categoria 1,36.8,6,2026-05-03,Vendedor 1
1220,Produto C,Categoria 2,63.97,9,2026-05-04,Vendedor 2
1221,Produto A,Categoria 3,79.88,2,2026-05-05,Vendedor 1
1222,Produto C,Categoria 1,77.42,4,2026-05-06,Vendedor 3
1223,Produto A,Categoria 3,39.59,9,2026-05-07,Vendedor 3
1224,Produto A,Categoria 2,64.98,15,2026-05-08,Vendedor 3
1225,Produto A,Categoria 2,88.41,13,2026-05-09,Vendedor 2
1226,Produto B,Categoria 1,11.39,8,2026-05-10,Vendedor 2
1227,Produto A,Categoria 1,49.22,19,2026-05-11,Vendedor 3
1228,Produto A,Categoria 3,30.18,19,2026-05-12,Vendedor 3
1229,Produto B,Categoria 1,44.98,16,2026-05-13,Vendedor 2
1230,Produto A,Categoria 3,47.44,11,2026-05-14,Vendedor 3
1231,Produto C,Categoria 1,77.2,10,2026-05-15,Vendedor 1
1232,Produto C,Categoria 3,18.44,8,2026-05-16,Vendedor 1
1233,Produto A,Categoria 3,56.13,1,2026-05-17,Vendedor 3
1234,Produto B,Categoria 3,60.78,10,2026-05-18,Vendedor 1
1235,Produto C,Categoria 3,54.47,18,2026-05-19,Vendedor 3
1236,Produto B,Categoria 2,75.87,3,2026-05-20,Vendedor 2
1237,Produto B,Categoria 3,44.54,11,2026-05-21,Vendedor 3
1238,Produto C,Categoria 1,95.05,18,2026-05-22,Vendedor 2
1239,Produto B,Categoria 2,53.36,3,2026-05-23,Vendedor 1
1240,Produto C,Categoria 2,61.41,8,2026-05-24,Vendedor 1
1241,Produto B,Categoria 3,84.3,14,2026-05-25,Vendedor 1
1242,Produto C,Categoria 2,34.77,6,2026-05-26,Vendedor 3
1243,Produto A,Categoria 3,16.77,15,2026-05-27,Vendedor 2
1244,Produto C,Categoria 1,73.7,14,2026-05-28,Vendedor 2
